status,row_count,plant,machine,folder,run_type,matched_running_speed_key,matched_speed,raw_example,complexities_example
MISSING_PLANT_IN_RUNNING_SPEED,76,Chemmencherry,Regioman,Folder 2,SNP,,0,"('Chemmencherry', 'Regioman', 'Folder 2')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,73,Nacharam,Hiline-1,F-1,SNP,,0,"('Nacharam', 'Hiline-1', 'F-1')",C2-Standard Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,61,Bommasandra,Regioman-A,Folder B,SNP,,0,"('Bommasandra', 'Regioman-A', 'Folder B')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,38,Nacharam,Hiline-1,F-2,SNP,,0,"('Nacharam', 'Hiline-1', 'F-2')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,21,Bommasandra,Regioman-A,Folder A,GNP,,0,"('Bommasandra', 'Regioman-A', 'Folder A')",C8-Standard Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,18,Bommasandra,Regioman-B,Folder C,GNP,,0,"('Bommasandra', 'Regioman-B', 'Folder C')",C8-Standard Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,16,Chemmencherry,Regioman,Folder 1,GNP,,0,"('Chemmencherry', 'Regioman', 'Folder 1')",C5-Standard Pagination (Light GNP)
MISSING_PLANT_IN_RUNNING_SPEED,16,Chinhat,Hiline-1,Folder 2,GNP+Complexity,,0,"('Chinhat', 'Hiline-1', 'Folder 2')",C11-High Pagination (Light GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,14,Chemmencherry,Regioman,Folder 2,GNP,,0,"('Chemmencherry', 'Regioman', 'Folder 2')",C5-Standard Pagination (Light GNP)
MISSING_PLANT_IN_RUNNING_SPEED,13,Nacharam,Hiline-2,Folder 3,GNP,,0,"('Nacharam', 'Hiline-2', 'Folder 3')",C5-Standard Pagination (Light GNP)
MISSING_PLANT_IN_RUNNING_SPEED,10,Saltlake,Regioman,Folder A,GNP,,0,"('Saltlake', 'Regioman', 'Folder A')",C8-Standard Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,10,Nacharam,Hiline-2,Folder 4,SNP,,0,"('Nacharam', 'Hiline-2', 'Folder 4')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,9,Vejalpur,HILINE,HL - Folder 1,GNP+Complexity,,0,"('Vejalpur', 'Hiline', 'HL - Folder 1')",C10-High Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,8,Bhosari,Regioman,Folder 3,GNP,,0,"('Bhosari', 'Regioman', 'Folder 3')",C8-Standard Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,8,Chemmencherry,Regioman,Folder 1,GNP+Complexity,,0,"('Chemmencherry', 'Regioman', 'Folder 1')",C9-Standard Pagination (Heavy GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,7,Bommasandra,Regioman-A,Folder A,GNP+Complexity,,0,"('Bommasandra', 'Regioman-A', 'Folder A')",C9-Standard Pagination (Heavy GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,7,Chemmencherry,Regioman,Folder 2,GNP+Complexity,,0,"('Chemmencherry', 'Regioman', 'Folder 2')",C9-Standard Pagination (Heavy GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,7,Nacharam,Hiline-2,Folder 3,GNP+Complexity,,0,"('Nacharam', 'Hiline-2', 'Folder 3')",C10-High Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,6,Vejalpur,Cityline-1,F1,GNP,,0,"('Vejalpur', 'Cityline-1', 'F1')",C8-Standard Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,6,Nacharam,Hiline-1,F-2,GNP,,0,"('Nacharam', 'Hiline-1', 'F-2')",C5-Standard Pagination (Light GNP)
MISSING_PLANT_IN_RUNNING_SPEED,6,Bommasandra,Regioman-B,Folder C,GNP+Complexity,,0,"('Bommasandra', 'Regioman-B', 'Folder C')",C9-Standard Pagination (Heavy GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,6,Chinhat,Hiline-1,Folder 2,SNP+Complexity,,0,"('Chinhat', 'Hiline-1', 'Folder 2')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,6,Saltlake,Cromoman,Folder C,SNP+Complexity,,0,"('Saltlake', 'Cromoman', 'Folder C')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,6,Chinhat,Hiline-1,Folder 1,SNP,,0,"('Chinhat', 'Hiline-1', 'Folder 1')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,5,Vejalpur,HILINE,HL - Folder 1,GNP,,0,"('Vejalpur', 'Hiline', 'HL - Folder 1')",C8-Standard Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,5,Chinhat,Hiline-1,Folder 2,GNP,,0,"('Chinhat', 'Hiline-1', 'Folder 2')",C7-High Pagination (Light GNP)
